Sn,Degree,Volt CH-1,Volt CH-2,Load,Sync
146,7.25,2.322,1.152,18.8,2.016
147,7.3,2.334,1.158,18.9,2.016
148,7.35,2.344,1.164,18.9,2.014
149,7.4,2.355,1.17,18.9,2.013
150,7.45,2.367,1.176,19,2.013
151,7.5,2.381,1.182,19,2.014
152,7.55,2.394,1.188,19,2.015
153,7.6,2.402,1.195,19.1,2.01
154,7.65,2.417,1.201,19.2,2.012
155,7.7,2.43,1.208,19.2,2.012
156,7.75,2.441,1.213,19.2,2.012
157,7.8,2.454,1.22,19.2,2.011
158,7.85,2.466,1.226,19.2,2.011
159,7.9,2.476,1.232,19.3,2.01
160,7.95,2.488,1.238,19.3,2.01
161,8,2.5,1.245,19.3,2.008
162,8.05,2.512,1.251,19.4,2.008
163,8.1,2.524,1.257,19.4,2.008
164,8.15,2.534,1.264,19.5,2.005
165,8.2,2.549,1.27,19.5,2.007
166,8.25,2.559,1.277,19.5,2.004
167,8.3,2.572,1.283,19.5,2.005
168,8.35,2.582,1.29,19.6,2.002
169,8.4,2.595,1.295,19.6,2.004
170,8.45,2.607,1.302,19.6,2.002
171,8.5,2.619,1.309,19.7,2.001
172,8.55,2.63,1.315,19.7,2
173,8.6,2.645,1.32,19.7,2.004
174,8.65,2.658,1.326,19.8,2.005
175,8.7,2.666,1.333,19.8,2
176,8.75,2.679,1.34,19.9,1.999
177,8.8,2.694,1.346,19.9,2.001
178,8.85,2.706,1.352,19.9,2.001
179,8.9,2.718,1.359,19.9,2
180,8.95,2.733,1.364,20,2.004
181,9,2.746,1.371,20,2.003
182,9.05,2.756,1.376,20.1,2.003
183,9.1,2.767,1.383,20.1,2.001
184,9.15,2.779,1.389,20.1,2.001
185,9.2,2.791,1.395,20.2,2.001
186,9.25,2.804,1.401,20.2,2.001
187,9.3,2.816,1.407,20.3,2.001
188,9.35,2.829,1.413,20.3,2.002
189,9.4,2.842,1.419,20.3,2.003
190,9.45,2.857,1.424,20.3,2.006
191,9.5,2.87,1.431,20.4,2.006
192,9.55,2.885,1.438,20.5,2.006
193,9.6,2.896,1.443,20.4,2.007
194,9.65,2.91,1.449,20.5,2.008
195,9.7,2.922,1.455,20.5,2.008
196,9.75,2.935,1.461,20.6,2.009
197,9.8,2.944,1.467,20.6,2.007
198,9.85,2.957,1.473,20.6,2.007
199,9.9,2.97,1.479,20.6,2.008
200,9.95,2.983,1.485,20.7,2.009
201,10,2.995,1.491,20.7,2.009
202,10.05,3.008,1.497,20.7,2.009
203,10.1,3.023,1.503,20.7,2.011
204,10.15,3.036,1.508,20.8,2.013
205,10.2,3.049,1.514,20.9,2.014
206,10.25,3.063,1.521,20.9,2.014
207,10.3,3.073,1.527,20.9,2.012
208,10.35,3.084,1.533,20.9,2.012
209,10.4,3.098,1.539,21,2.013
210,10.45,3.113,1.544,21,2.016
211,10.5,3.126,1.549,21,2.018
212,10.55,3.138,1.555,21.1,2.018
213,10.6,3.149,1.561,21.1,2.017
214,10.65,3.163,1.567,21.1,2.019
215,10.7,3.176,1.573,21.2,2.019
216,10.75,3.187,1.579,21.2,2.018
217,10.8,3.197,1.584,21.3,2.018
218,10.85,3.212,1.59,21.3,2.02
219,10.9,3.225,1.596,21.3,2.021
220,10.95,3.236,1.602,21.3,2.02
221,11,3.251,1.608,21.4,2.022
222,11.05,3.259,1.614,21.4,2.019
223,11.1,3.271,1.619,21.5,2.02
224,11.15,3.287,1.624,21.5,2.024
225,11.2,3.299,1.63,21.5,2.024
226,11.25,3.31,1.636,21.6,2.023
227,11.3,3.322,1.642,21.6,2.023
228,11.35,3.332,1.648,21.6,2.022
229,11.4,3.348,1.653,21.7,2.025
230,11.45,3.358,1.658,21.7,2.025
231,11.5,3.371,1.665,21.7,2.025
232,11.55,3.383,1.671,21.7,2.025
233,11.6,3.396,1.676,21.8,2.026
234,11.65,3.407,1.683,21.8,2.024
235,11.7,3.419,1.688,21.8,2.025
236,11.75,3.427,1.693,21.9,2.024
237,11.8,3.44,1.7,21.9,2.024
238,11.85,3.453,1.705,22,2.025
239,11.9,3.465,1.71,22,2.026
240,11.95,3.476,1.717,22,2.024
241,12,3.488,1.722,22,2.026
242,12.05,3.498,1.727,22.1,2.025
243,12.1,3.51,1.734,22.1,2.024
244,12.15,3.524,1.74,22.2,2.025
245,12.2,3.536,1.745,22.2,2.026
246,12.25,3.544,1.752,22.2,2.023
247,12.3,3.559,1.757,22.3,2.026
248,12.35,3.571,1.762,22.3,2.027
249,12.4,3.582,1.768,22.3,2.026
250,12.45,3.595,1.773,22.4,2.028
251,12.5,3.606,1.779,22.4,2.027
252,12.55,3.614,1.786,22.5,2.024
253,12.6,3.63,1.79,22.5,2.028
254,12.65,3.641,1.795,22.5,2.028
255,12.7,3.653,1.802,22.6,2.027
256,12.75,3.663,1.808,22.6,2.026
257,12.8,3.674,1.813,22.7,2.026
258,12.85,3.684,1.82,22.7,2.024
259,12.9,3.696,1.825,22.7,2.025
260,12.95,3.707,1.831,22.7,2.025
261,13,3.722,1.837,22.8,2.026
262,13.05,3.732,1.843,22.8,2.025
263,13.1,3.746,1.848,22.9,2.027
264,13.15,3.758,1.854,22.9,2.027
265,13.2,3.77,1.859,22.9,2.028
266,13.25,3.778,1.864,23,2.027
267,13.3,3.789,1.871,23,2.025
268,13.35,3.8,1.877,23,2.025
269,13.4,3.813,1.883,23.1,2.025
270,13.45,3.828,1.888,23.1,2.028
271,13.5,3.841,1.894,23.2,2.028
272,13.55,3.847,1.9,23.2,2.025
273,13.6,3.859,1.905,23.2,2.026
274,13.65,3.874,1.911,23.3,2.027
275,13.7,3.886,1.917,23.3,2.027
276,13.75,3.898,1.923,23.4,2.027
277,13.8,3.906,1.928,23.4,2.026
278,13.85,3.92,1.936,23.4,2.025
279,13.9,3.934,1.941,23.4,2.027
280,13.95,3.941,1.947,23.5,2.024
281,14,3.954,1.953,23.5,2.025
282,14.05,3.967,1.959,23.5,2.025
283,14.1,3.979,1.966,23.6,2.024
284,14.15,3.989,1.971,23.6,2.024
285,14.2,3.998,1.976,23.7,2.023
286,14.25,4.011,1.983,23.7,2.023
287,14.3,4.025,1.989,23.7,2.024
288,14.35,4.035,1.995,23.7,2.023
289,14.4,4.047,2.001,23.7,2.022
290,14.45,4.061,2.007,23.8,2.023
291,14.5,4.072,2.014,23.8,2.022
292,14.55,4.085,2.019,23.8,2.023
293,14.6,4.097,2.025,23.9,2.023
294,14.65,4.105,2.032,23.9,2.02
295,14.7,4.12,2.037,23.9,2.023
296,14.75,4.125,2.043,24,2.019
297,14.8,4.125,2.049,24,2.013
298,14.85,4.125,2.055,24,2.007
299,14.9,4.125,2.062,24.1,2
300,14.95,4.125,2.069,24.1,1.994
301,15,4.125,2.075,24.2,1.988
302,15.05,4.125,2.08,24.2,1.983
303,15.1,4.125,2.081,24.5,1.982
304,15.15,4.125,2.081,26.1,1.982
305,15.2,4.125,2.081,28.4,1.982
306,15.25,4.125,2.081,30.7,1.982
307,15.3,4.125,2.081,33,1.982
308,15.35,4.125,2.081,35,1.982
309,15.4,4.125,2.081,37.1,1.982
310,15.45,4.125,2.081,39.2,1.982
311,15.5,4.125,2.081,41.3,1.982
312,15.55,4.125,2.081,43.3,1.982
313,15.6,4.125,2.081,45.4,1.982
314,15.65,4.125,2.081,47.4,1.982
315,15.7,4.125,2.081,49.6,1.982
316,15.75,4.125,2.081,51.6,1.982
317,15.8,4.125,2.081,53.7,1.982
318,15.85,4.125,2.081,55.9,1.982
319,15.9,4.125,2.081,57.9,1.982
320,15.95,4.125,2.081,60.1,1.982
321,16,4.125,2.081,62.2,1.982
322,16.05,4.125,2.081,64.2,1.982
323,16.1,4.125,2.081,66.2,1.982
324,16.15,4.125,2.081,68.2,1.982
325,16.2,4.125,2.081,70.5,1.982
326,16.25,4.125,2.081,72.9,1.982
327,16.3,4.125,2.081,75.1,1.982
328,16.35,4.125,2.081,77.5,1.982
329,16.4,4.125,2.081,79.6,1.982
330,16.45,4.125,2.081,81.8,1.982
331,16.5,4.125,2.081,84.1,1.982
332,16.45,4.125,2.081,80.7,1.982
333,16.4,4.125,2.081,77.7,1.982
334,16.35,4.125,2.081,75,1.982
335,16.3,4.125,2.081,72.2,1.982
336,16.25,4.125,2.081,69.5,1.982
337,16.2,4.125,2.081,66.8,1.982
338,16.15,4.125,2.081,64.1,1.982
339,16.1,4.125,2.081,61.8,1.982
340,16.05,4.125,2.081,59.4,1.982
341,16,4.125,2.081,57,1.982
342,15.95,4.125,2.081,54.6,1.982
343,15.9,4.125,2.081,52.2,1.982
344,15.85,4.125,2.081,49.7,1.982
345,15.8,4.125,2.081,47.2,1.982
346,15.75,4.125,2.081,44.8,1.982
347,15.7,4.125,2.081,42.6,1.982
348,15.65,4.125,2.081,40.4,1.982
349,15.6,4.125,2.081,38,1.982
350,15.55,4.125,2.081,35.7,1.982
351,15.5,4.125,2.081,33.5,1.982
352,15.45,4.125,2.081,31.2,1.982
353,15.4,4.125,2.081,28.9,1.982
354,15.35,4.125,2.081,27,1.982
355,15.3,4.125,2.081,25.1,1.982
356,15.25,4.125,2.081,23.1,1.982
357,15.2,4.125,2.081,21.8,1.982
358,15.15,4.125,2.081,21.1,1.982
359,15.1,4.125,2.081,20.8,1.982
360,15.05,4.125,2.078,20.7,1.985
361,15,4.125,2.072,20.7,1.991
362,14.95,4.125,2.066,20.7,1.997
363,14.9,4.125,2.059,20.7,2.003
364,14.85,4.125,2.053,20.7,2.009
365,14.8,4.125,2.046,20.8,2.016
366,14.75,4.122,2.041,20.7,2.02
367,14.7,4.112,2.035,20.7,2.021
368,14.65,4.103,2.028,20.7,2.023
369,14.6,4.091,2.022,20.7,2.023
370,14.55,4.079,2.017,20.6,2.022
371,14.5,4.067,2.011,20.6,2.022
372,14.45,4.055,2.004,20.6,2.023
373,14.4,4.041,1.997,20.6,2.024
374,14.35,4.028,1.992,20.5,2.022
375,14.3,4.015,1.986,20.5,2.022
376,14.25,4.004,1.98,20.5,2.022
377,14.2,3.992,1.974,20.4,2.022
378,14.15,3.981,1.968,20.4,2.023
379,14.1,3.97,1.962,20.4,2.023
380,14.05,3.961,1.955,20.3,2.026
381,14,3.949,1.95,20.3,2.025
382,13.95,3.935,1.944,20.3,2.024
383,13.9,3.925,1.938,20.2,2.025
384,13.85,3.912,1.932,20.2,2.025
385,13.8,3.9,1.926,20.2,2.025
386,13.75,3.889,1.921,20.1,2.024
387,13.7,3.875,1.915,20.1,2.023
388,13.65,3.866,1.908,20.1,2.026
389,13.6,3.855,1.902,20.1,2.027
390,13.55,3.844,1.897,20,2.026
391,13.5,3.833,1.891,20,2.027
392,13.45,3.822,1.884,20,2.029
393,13.4,3.81,1.879,19.9,2.028
394,13.35,3.796,1.873,19.9,2.027
395,13.3,3.781,1.867,19.9,2.025
396,13.25,3.77,1.862,19.8,2.025
397,13.2,3.758,1.856,19.8,2.025
398,13.15,3.75,1.85,19.8,2.027
399,13.1,3.74,1.844,19.7,2.028
