Sn,Degree,Volt CH-1,Volt CH-2,Load,Sync,,,,,,,,,,,,
334,66.6,3.902,1.953,0.353,1.998,,3.9020,1.9535,,,3.9020,1.95352,,,,,
335,66.8,3.911,1.957,0.355,1.998,,3.9110,1.9575,,,3.9110,1.95752,,,,,
336,67,3.919,1.962,0.355,1.997,,3.9200,1.9615,,,3.9200,1.96152,,,,,
337,67.2,3.928,1.966,0.357,1.998,,3.9280,1.9665,,,3.9280,1.96652,,,,,
338,67.4,3.936,1.97,0.354,1.998,,3.9370,1.9705,,,3.9370,1.97052,,,,,
339,67.6,3.946,1.975,0.356,1.998,,3.9450,1.9745,,,3.9450,1.97452,,,,,
340,67.8,3.955,1.98,0.355,1.997,,3.9550,1.9795,,,3.9550,1.97952,,,,,
341,68,3.967,1.986,0.355,1.997,,3.9640,1.9845,,,3.9640,1.98452,,,,,
342,68.2,3.976,1.99,0.354,1.998,,3.9760,1.9905,,,3.9760,1.99052,,,,,
343,68.4,3.983,1.994,0.354,1.997,,3.9850,1.9945,,,3.9850,1.99452,,,,,
344,68.6,3.992,1.998,0.359,1.998,,3.9920,1.9985,,,3.9920,1.99852,,,,,
345,68.8,3.992,2.002,0.356,1.994,,4.0010,2.0025,,,4.0010,2.00252,,,,,
346,69,3.994,2.004,0.365,1.993,,4.0010,2.0065,,,4.0010,2.00652,,,,,
347,69.2,3.994,2.004,0.361,1.993,,4.0030,2.0085,,,4.0030,2.00852,,,,,
348,69.4,3.993,2.003,0.361,1.994,,4.0030,2.0085,,,4.0030,2.00852,,,,,
349,69.6,3.992,2.002,0.409,1.994,,4.0020,2.0075,,,4.0020,2.00752,,,,,
350,69.8,3.994,2.003,0.459,1.994,,4.0010,2.0065,,,4.0010,2.00652,,,,,
351,70,3.994,2.003,0.494,1.994,,4.0030,2.0075,,,4.0030,2.00752,,,,,
352,70.2,3.993,2.003,0.536,1.994,,4.0030,2.0075,,,4.0030,2.00752,,,,,
353,70.4,3.993,2.003,0.578,1.994,,4.0020,2.0075,,,4.0020,2.00752,,,,,
354,70.6,3.994,2.003,0.61,1.994,,4.0020,2.0075,,,4.0020,2.00752,,,,,
355,70.8,3.992,2.002,0.648,1.994,,4.0030,2.0075,,,4.0030,2.00752,,,,,
356,71,3.992,2.002,0.677,1.994,,4.0010,2.0065,,,4.0010,2.00652,,,,,
357,71.2,3.994,2.003,0.708,1.994,,,,,,,,,,,,
358,71.4,3.994,2.003,0.733,1.994,,,,,,,,,,,,
359,71.4,3.993,2.003,0.59,1.994,,,,,,,,,,,,
360,71.2,3.992,2.003,0.546,1.993,,,,,,,,,,,,
361,71,3.993,2.003,0.486,1.994,,,,,,,,,,,,
362,70.8,3.994,2.003,0.451,1.994,,,,,,,,,,,,
363,70.6,3.993,2.003,0.409,1.994,,,,,,,,,,,,
364,70.4,3.992,2.002,0.381,1.994,,,,,,,,,,,,
365,70.2,3.993,2.003,0.363,1.994,,,,,,,,,,,,
366,70,3.993,2.003,0.324,1.994,,,,,,,,,,,,
367,69.8,3.993,2.003,0.291,1.994,,,,,,,,,,,,
368,69.6,3.992,2.003,0.253,1.993,,,,,,,,,,,,
369,69.4,3.993,2.003,0.218,1.994,,,,,,,,,,,,
370,69.2,3.993,2.003,0.177,1.994,,,,,,,,,,,,
371,69,3.993,2.003,0.163,1.994,,,,,,,,,,,,
372,68.8,3.993,2.003,0.182,1.994,,,,,,,,,,,,
373,68.6,3.992,2.002,0.171,1.994,,,,,,,,,,,,
374,68.4,3.994,2.001,0.17,1.996,,,,,,,,,,,,
375,68.2,3.988,1.996,0.167,1.998,,,,,,,,,,,,
376,68,3.978,1.992,0.166,1.997,,,,,,,,,,,,
377,67.8,3.968,1.986,0.167,1.998,,,,,,,,,,,,
378,67.6,3.959,1.982,0.17,1.997,,,,,,,,,,,,
379,67.4,3.949,1.977,0.169,1.997,,,,,,,,,,,,
380,67.2,3.94,1.973,0.169,1.997,,,,,,,,,,,,
381,67,3.932,1.969,0.17,1.997,,,,,,,,,,,,
382,66.8,3.924,1.965,0.167,1.997,,,,,,,,,,,,
383,66.6,3.915,1.961,0.165,1.996,,,,,,,,,,,,
384,66.4,3.904,1.954,0.16,1.998,,,,,,,,,,,,
385,66.2,3.895,1.95,0.163,1.997,,,,,,,,,,,,
386,66,3.886,1.946,0.162,1.997,,,,,,,,,,,,
387,65.8,3.878,1.942,0.163,1.997,,,,,,,,,,,,
388,65.6,3.869,1.937,0.165,1.997,,,,,,,,,,,,
389,65.4,3.861,1.933,0.165,1.997,,,,,,,,,,,,
390,65.2,3.853,1.929,0.164,1.997,,,,,,,,,,,,
391,65,3.842,1.924,0.165,1.997,,,,,,,,,,,,
392,64.8,3.833,1.919,0.161,1.997,,,,,,,,,,,,
393,64.6,3.826,1.915,0.159,1.998,,,,,,,,,,,,
394,64.4,3.819,1.912,0.161,1.997,,,,,,,,,,,,
395,64.2,3.808,1.907,0.156,1.997,,,,,,,,,,,,
396,64,3.8,1.903,0.161,1.997,,,,,,,,,,,,
397,63.8,3.79,1.897,0.161,1.998,,,,,,,,,,,,
398,63.6,3.782,1.893,0.159,1.998,,,,,,,,,,,,
399,63.4,3.774,1.889,0.164,1.998,,,,,,,,,,,,
400,63.2,3.764,1.884,0.16,1.998,,,,,,,,,,,,
401,63,3.757,1.88,0.158,1.998,,,,,,,,,,,,
402,62.8,3.747,1.876,0.153,1.997,,,,,,,,,,,,
403,62.6,3.74,1.872,0.157,1.998,,,,,,,,,,,,
404,62.4,3.73,1.867,0.154,1.998,,,,,,,,,,,,
405,62.2,3.722,1.863,0.156,1.998,,,,,,,,,,,,
406,62,3.71,1.857,0.158,1.998,,,,,,,,,,,,
407,61.8,3.702,1.853,0.154,1.998,,,,,,,,,,,,
408,61.6,3.695,1.849,0.156,1.998,,,,,,,,,,,,
409,61.4,3.686,1.845,0.157,1.998,,,,,,,,,,,,
410,61.2,3.677,1.84,0.151,1.998,,,,,,,,,,,,
411,61,3.666,1.835,0.152,1.998,,,,,,,,,,,,
412,60.8,3.659,1.831,0.15,1.998,,,,,,,,,,,,
413,60.6,3.649,1.826,0.149,1.998,,,,,,,,,,,,
414,60.4,3.641,1.822,0.152,1.998,,,,,,,,,,,,
415,60.2,3.631,1.817,0.149,1.998,,,,,,,,,,,,
416,60,3.623,1.813,0.149,1.998,,,,,,,,,,,,
417,59.8,3.615,1.809,0.154,1.998,,,,,,,,,,,,
418,59.6,3.602,1.803,0.15,1.998,,,,,,,,,,,,
419,59.4,3.594,1.799,0.149,1.998,,,,,,,,,,,,
420,59.2,3.584,1.793,0.146,1.999,,,,,,,,,,,,
421,59,3.576,1.789,0.146,1.999,,,,,,,,,,,,
422,58.8,3.567,1.785,0.146,1.998,,,,,,,,,,,,
423,58.6,3.559,1.781,0.148,1.998,,,,,,,,,,,,
424,58.4,3.55,1.776,0.146,1.999,,,,,,,,,,,,
425,58.2,3.541,1.771,0.147,1.999,,,,,,,,,,,,
426,58,3.534,1.768,0.149,1.999,,,,,,,,,,,,
427,57.8,3.523,1.762,0.145,1.999,,,,,,,,,,,,
428,57.6,3.516,1.759,0.145,1.999,,,,,,,,,,,,
429,57.4,3.505,1.754,0.141,1.998,,,,,,,,,,,,
430,57.2,3.497,1.75,0.145,1.998,,,,,,,,,,,,
431,57,3.487,1.744,0.139,1.999,,,,,,,,,,,,
432,56.8,3.478,1.74,0.141,1.999,,,,,,,,,,,,
433,56.6,3.469,1.735,0.144,1.999,,,,,,,,,,,,
434,56.4,3.461,1.731,0.141,1.999,,,,,,,,,,,,
435,56.2,3.452,1.727,0.144,1.999,,,,,,,,,,,,
436,56,3.443,1.722,0.142,1.999,,,,,,,,,,,,
437,55.8,3.435,1.718,0.139,1.999,,,,,,,,,,,,
438,55.6,3.423,1.713,0.138,1.998,,,,,,,,,,,,
439,55.4,3.414,1.708,0.138,1.999,,,,,,,,,,,,
440,55.2,3.405,1.703,0.135,1.999,,,,,,,,,,,,
441,55,3.396,1.699,0.139,1.999,,,,,,,,,,,,
442,54.8,3.386,1.694,0.139,1.999,,,,,,,,,,,,
443,54.6,3.378,1.69,0.135,1.999,,,,,,,,,,,,
444,54.4,3.369,1.686,0.141,1.998,,,,,,,,,,,,
445,54.2,3.357,1.68,0.141,1.998,,,,,,,,,,,,
446,54,3.347,1.675,0.134,1.998,,,,,,,,,,,,
447,53.8,3.339,1.671,0.137,1.998,,,,,,,,,,,,
448,53.6,3.331,1.666,0.136,1.999,,,,,,,,,,,,
449,53.4,3.321,1.661,0.133,1.999,,,,,,,,,,,,
450,53.2,3.313,1.657,0.139,1.999,,,,,,,,,,,,
451,53,3.302,1.651,0.136,2,,,,,,,,,,,,
452,52.8,3.295,1.648,0.135,1.999,,,,,,,,,,,,
453,52.6,3.287,1.644,0.14,1.999,,,,,,,,,,,,
454,52.4,3.276,1.639,0.137,1.999,,,,,,,,,,,,
455,52.2,3.269,1.635,0.136,1.999,,,,,,,,,,,,
456,52,3.259,1.63,0.133,1.999,,,,,,,,,,,,
457,51.8,3.25,1.626,0.133,1.999,,,,,,,,,,,,
458,51.6,3.24,1.621,0.134,1.999,,,,,,,,,,,,
459,51.4,3.233,1.617,0.135,1.999,,,,,,,,,,,,
460,51.2,3.221,1.612,0.136,1.998,,,,,,,,,,,,
461,51,3.213,1.607,0.137,1.999,,,,,,,,,,,,
462,50.8,3.205,1.603,0.136,1.999,,,,,,,,,,,,
463,50.6,3.197,1.599,0.136,1.999,,,,,,,,,,,,
464,50.4,3.188,1.595,0.135,1.999,,,,,,,,,,,,
465,50.2,3.177,1.589,0.131,1.999,,,,,,,,,,,,
466,50,3.169,1.586,0.132,1.998,,,,,,,,,,,,
467,49.8,3.16,1.581,0.129,1.999,,,,,,,,,,,,
468,49.6,3.152,1.577,0.131,1.999,,,,,,,,,,,,
469,49.4,3.141,1.572,0.133,1.998,,,,,,,,,,,,
470,49.2,3.132,1.567,0.131,1.999,,,,,,,,,,,,
471,49,3.125,1.563,0.135,1.999,,,,,,,,,,,,
472,48.8,3.112,1.557,0.134,1.999,,,,,,,,,,,,
473,48.6,3.104,1.553,0.13,1.999,,,,,,,,,,,,
474,48.4,3.096,1.549,0.13,1.999,,,,,,,,,,,,
475,48.2,3.088,1.545,0.129,1.999,,,,,,,,,,,,
476,48,3.079,1.541,0.129,1.998,,,,,,,,,,,,
477,47.8,3.071,1.537,0.134,1.998,,,,,,,,,,,,
478,47.6,3.061,1.532,0.132,1.998,,,,,,,,,,,,
479,47.4,3.053,1.528,0.129,1.998,,,,,,,,,,,,
480,47.2,3.045,1.524,0.135,1.998,,,,,,,,,,,,
481,47,3.034,1.518,0.131,1.999,,,,,,,,,,,,
482,46.8,3.027,1.515,0.128,1.998,,,,,,,,,,,,
483,46.6,3.017,1.51,0.126,1.998,,,,,,,,,,,,
484,46.4,3.008,1.505,0.126,1.999,,,,,,,,,,,,
485,46.2,2.998,1.5,0.124,1.999,,,,,,,,,,,,
486,46,2.989,1.496,0.127,1.998,,,,,,,,,,,,
487,45.8,2.98,1.491,0.127,1.999,,,,,,,,,,,,
488,45.6,2.97,1.486,0.127,1.999,,,,,,,,,,,,
489,45.4,2.962,1.482,0.129,1.999,,,,,,,,,,,,
490,45.2,2.953,1.478,0.126,1.998,,,,,,,,,,,,
491,45,2.943,1.473,0.125,1.998,,,,,,,,,,,,
492,44.8,2.932,1.467,0.122,1.999,,,,,,,,,,,,
493,44.6,2.923,1.463,0.123,1.998,,,,,,,,,,,,
494,44.4,2.913,1.458,0.121,1.998,,,,,,,,,,,,
495,44.2,2.905,1.454,0.123,1.998,,,,,,,,,,,,
496,44,2.896,1.449,0.125,1.999,,,,,,,,,,,,
497,43.8,2.887,1.445,0.124,1.998,,,,,,,,,,,,
498,43.6,2.879,1.441,0.125,1.998,,,,,,,,,,,,
499,43.4,2.868,1.436,0.124,1.997,,,,,,,,,,,,
500,43.2,2.86,1.431,0.121,1.999,,,,,,,,,,,,
501,43,2.85,1.427,0.119,1.997,,,,,,,,,,,,
502,42.8,2.843,1.423,0.121,1.998,,,,,,,,,,,,
503,42.6,2.831,1.417,0.117,1.998,,,,,,,,,,,,
504,42.4,2.824,1.414,0.119,1.997,,,,,,,,,,,,
505,42.2,2.813,1.408,0.121,1.998,,,,,,,,,,,,
506,42,2.804,1.403,0.118,1.999,,,,,,,,,,,,
507,41.8,2.795,1.399,0.12,1.998,,,,,,,,,,,,
508,41.6,2.786,1.395,0.12,1.997,,,,,,,,,,,,
509,41.4,2.778,1.391,0.117,1.997,,,,,,,,,,,,
510,41.2,2.767,1.385,0.115,1.998,,,,,,,,,,,,
511,41,2.758,1.381,0.12,1.997,,,,,,,,,,,,
512,40.8,2.747,1.375,0.115,1.998,,,,,,,,,,,,
513,40.6,2.74,1.372,0.118,1.997,,,,,,,,,,,,
514,40.4,2.729,1.367,0.119,1.996,,,,,,,,,,,,
515,40.2,2.721,1.362,0.114,1.998,,,,,,,,,,,,
516,40,2.713,1.358,0.119,1.998,,,,,,,,,,,,
517,39.8,2.703,1.353,0.116,1.998,,,,,,,,,,,,
518,39.6,2.695,1.35,0.112,1.996,,,,,,,,,,,,
519,39.4,2.685,1.344,0.11,1.998,,,,,,,,,,,,
520,39.2,2.677,1.34,0.111,1.998,,,,,,,,,,,,
521,39,2.668,1.335,0.11,1.999,,,,,,,,,,,,
522,38.8,2.66,1.331,0.112,1.998,,,,,,,,,,,,
523,38.6,2.649,1.326,0.113,1.998,,,,,,,,,,,,
524,38.4,2.641,1.322,0.113,1.998,,,,,,,,,,,,
525,38.2,2.632,1.318,0.112,1.997,,,,,,,,,,,,
526,38,2.621,1.312,0.112,1.998,,,,,,,,,,,,
527,37.8,2.613,1.308,0.111,1.998,,,,,,,,,,,,
528,37.6,2.605,1.304,0.106,1.998,,,,,,,,,,,,
529,37.4,2.596,1.3,0.109,1.997,,,,,,,,,,,,
530,37.2,2.585,1.295,0.106,1.996,,,,,,,,,,,,
531,37,2.578,1.291,0.108,1.997,,,,,,,,,,,,
532,36.8,2.566,1.285,0.108,1.997,,,,,,,,,,,,
533,36.6,2.558,1.281,0.107,1.997,,,,,,,,,,,,
534,36.4,2.549,1.277,0.111,1.996,,,,,,,,,,,,
535,36.2,2.54,1.272,0.108,1.997,,,,,,,,,,,,
536,36,2.531,1.267,0.105,1.998,,,,,,,,,,,,
537,35.8,2.52,1.262,0.102,1.997,,,,,,,,,,,,
538,35.6,2.512,1.258,0.104,1.997,,,,,,,,,,,,
539,35.4,2.502,1.253,0.1,1.997,,,,,,,,,,,,
540,35.2,2.493,1.248,0.103,1.998,,,,,,,,,,,,
541,35,2.482,1.243,0.105,1.997,,,,,,,,,,,,
542,34.8,2.474,1.239,0.102,1.997,,,,,,,,,,,,
543,34.6,2.466,1.235,0.106,1.997,,,,,,,,,,,,
544,34.4,2.455,1.23,0.105,1.996,,,,,,,,,,,,
545,34.2,2.446,1.225,0.099,1.997,,,,,,,,,,,,
546,34,2.437,1.22,0.099,1.998,,,,,,,,,,,,
547,33.8,2.428,1.216,0.101,1.997,,,,,,,,,,,,
548,33.6,2.419,1.211,0.097,1.998,,,,,,,,,,,,
549,33.4,2.411,1.207,0.101,1.998,,,,,,,,,,,,
550,33.2,2.4,1.202,0.1,1.997,,,,,,,,,,,,
551,33,2.393,1.198,0.097,1.997,,,,,,,,,,,,
552,32.8,2.384,1.193,0.104,1.998,,,,,,,,,,,,
553,32.6,2.373,1.188,0.099,1.997,,,,,,,,,,,,
554,32.4,2.365,1.185,0.097,1.996,,,,,,,,,,,,
555,32.2,2.354,1.179,0.097,1.997,,,,,,,,,,,,
556,32,2.346,1.175,0.095,1.997,,,,,,,,,,,,
557,31.8,2.334,1.17,0.094,1.995,,,,,,,,,,,,
558,31.6,2.326,1.166,0.095,1.995,,,,,,,,,,,,
559,31.4,2.315,1.16,0.096,1.996,,,,,,,,,,,,
560,31.2,2.307,1.156,0.095,1.996,,,,,,,,,,,,
561,31,2.299,1.152,0.097,1.996,,,,,,,,,,,,
562,30.8,2.29,1.147,0.096,1.997,,,,,,,,,,,,
563,30.6,2.281,1.143,0.094,1.996,,,,,,,,,,,,
564,30.4,2.27,1.137,0.09,1.996,,,,,,,,,,,,
565,30.2,2.263,1.133,0.093,1.997,,,,,,,,,,,,
566,30,2.253,1.128,0.09,1.997,,,,,,,,,,,,
567,29.8,2.245,1.124,0.093,1.997,,,,,,,,,,,,
568,29.6,2.235,1.12,0.095,1.996,,,,,,,,,,,,
569,29.4,2.228,1.116,0.093,1.996,,,,,,,,,,,,
570,29.2,2.22,1.111,0.094,1.998,,,,,,,,,,,,
571,29,2.21,1.106,0.094,1.998,,,,,,,,,,,,
572,28.8,2.202,1.102,0.089,1.998,,,,,,,,,,,,
573,28.6,2.194,1.098,0.089,1.998,,,,,,,,,,,,
574,28.4,2.187,1.094,0.089,1.999,,,,,,,,,,,,
575,28.2,2.176,1.089,0.085,1.998,,,,,,,,,,,,
576,28,2.169,1.085,0.09,1.999,,,,,,,,,,,,
577,27.8,2.158,1.08,0.091,1.998,,,,,,,,,,,,
578,27.6,2.149,1.076,0.087,1.997,,,,,,,,,,,,
579,27.4,2.141,1.072,0.092,1.997,,,,,,,,,,,,
580,27.2,2.131,1.067,0.09,1.997,,,,,,,,,,,,
581,27,2.123,1.064,0.087,1.995,,,,,,,,,,,,
582,26.8,2.113,1.058,0.085,1.997,,,,,,,,,,,,
583,26.6,2.105,1.054,0.087,1.997,,,,,,,,,,,,
584,26.4,2.093,1.049,0.083,1.995,,,,,,,,,,,,
585,26.2,2.086,1.045,0.088,1.996,,,,,,,,,,,,
586,26,2.075,1.039,0.088,1.997,,,,,,,,,,,,
587,25.8,2.066,1.035,0.084,1.996,,,,,,,,,,,,
588,25.6,2.058,1.031,0.09,1.996,,,,,,,,,,,,
589,25.4,2.049,1.026,0.086,1.997,,,,,,,,,,,,
590,25.2,2.041,1.022,0.084,1.997,,,,,,,,,,,,
591,25,2.029,1.017,0.082,1.995,,,,,,,,,,,,
592,24.8,2.021,1.012,0.082,1.997,,,,,,,,,,,,
593,24.6,2.013,1.008,0.079,1.997,,,,,,,,,,,,
594,24.4,2.004,1.004,0.081,1.996,,,,,,,,,,,,
595,24.2,1.994,0.999,0.082,1.996,,,,,,,,,,,,
596,24,1.986,0.995,0.084,1.996,,,,,,,,,,,,
597,23.8,1.977,0.99,0.085,1.997,,,,,,,,,,,,
598,23.6,1.966,0.985,0.084,1.996,,,,,,,,,,,,
599,23.4,1.959,0.981,0.083,1.997,,,,,,,,,,,,
600,23.2,1.95,0.977,0.078,1.996,,,,,,,,,,,,
601,23,1.941,0.972,0.081,1.997,,,,,,,,,,,,
602,22.8,1.932,0.967,0.076,1.998,,,,,,,,,,,,
603,22.6,1.924,0.963,0.081,1.998,,,,,,,,,,,,
604,22.4,1.911,0.958,0.08,1.995,,,,,,,,,,,,
605,22.2,1.903,0.954,0.078,1.995,,,,,,,,,,,,
606,22,1.894,0.95,0.081,1.994,,,,,,,,,,,,
607,21.8,1.883,0.945,0.079,1.993,,,,,,,,,,,,
608,21.6,1.875,0.94,0.077,1.995,,,,,,,,,,,,
609,21.4,1.863,0.935,0.075,1.993,,,,,,,,,,,,
610,21.2,1.855,0.93,0.075,1.995,,,,,,,,,,,,
611,21,1.845,0.925,0.073,1.995,,,,,,,,,,,,
612,20.8,1.837,0.921,0.076,1.995,,,,,,,,,,,,
613,20.6,1.827,0.916,0.074,1.995,,,,,,,,,,,,
614,20.4,1.819,0.912,0.074,1.995,,,,,,,,,,,,
615,20.2,1.81,0.907,0.078,1.996,,,,,,,,,,,,
616,20,1.8,0.902,0.073,1.996,,,,,,,,,,,,
617,19.8,1.791,0.899,0.073,1.992,,,,,,,,,,,,
618,19.6,1.781,0.893,0.071,1.994,,,,,,,,,,,,
619,19.4,1.773,0.889,0.072,1.994,,,,,,,,,,,,
620,19.2,1.764,0.884,0.07,1.995,,,,,,,,,,,,
621,19,1.755,0.88,0.073,1.994,,,,,,,,,,,,
622,18.8,1.746,0.875,0.075,1.995,,,,,,,,,,,,
623,18.6,1.737,0.871,0.072,1.994,,,,,,,,,,,,
624,18.4,1.73,0.867,0.077,1.995,,,,,,,,,,,,
625,18.2,1.719,0.861,0.074,1.997,,,,,,,,,,,,
626,18,1.712,0.858,0.07,1.995,,,,,,,,,,,,
627,17.8,1.702,0.853,0.069,1.995,,,,,,,,,,,,
628,17.6,1.694,0.849,0.07,1.995,,,,,,,,,,,,
629,17.4,1.685,0.844,0.066,1.996,,,,,,,,,,,,
630,17.2,1.677,0.84,0.07,1.996,,,,,,,,,,,,
631,17,1.667,0.834,0.072,1.999,,,,,,,,,,,,
632,16.8,1.659,0.831,0.07,1.996,,,,,,,,,,,,
633,16.6,1.651,0.827,0.074,1.996,,,,,,,,,,,,
634,16.4,1.642,0.822,0.069,1.998,,,,,,,,,,,,
635,16.2,1.635,0.819,0.067,1.996,,,,,,,,,,,,
636,16,1.624,0.813,0.067,1.998,,,,,,,,,,,,
637,15.8,1.616,0.809,0.067,1.998,,,,,,,,,,,,
638,15.6,1.606,0.805,0.064,1.995,,,,,,,,,,,,
639,15.4,1.597,0.8,0.069,1.996,,,,,,,,,,,,
640,15.2,1.589,0.796,0.065,1.996,,,,,,,,,,,,
641,15,1.581,0.792,0.064,1.996,,,,,,,,,,,,
642,14.8,1.573,0.788,0.069,1.996,,,,,,,,,,,,
643,14.6,1.562,0.782,0.064,1.997,,,,,,,,,,,,
644,14.4,1.554,0.778,0.063,1.997,,,,,,,,,,,,
645,14.2,1.546,0.774,0.061,1.997,,,,,,,,,,,,
646,14,1.537,0.77,0.061,1.996,,,,,,,,,,,,
647,13.8,1.527,0.764,0.059,1.999,,,,,,,,,,,,
648,13.6,1.52,0.761,0.063,1.997,,,,,,,,,,,,
649,13.4,1.509,0.755,0.063,1.999,,,,,,,,,,,,
650,13.2,1.5,0.751,0.06,1.997,,,,,,,,,,,,
651,13,1.493,0.747,0.065,1.999,,,,,,,,,,,,
652,12.8,1.482,0.742,0.063,1.997,,,,,,,,,,,,
653,12.6,1.474,0.738,0.058,1.997,,,,,,,,,,,,
654,12.4,1.463,0.733,0.058,1.996,,,,,,,,,,,,
655,12.2,1.455,0.729,0.06,1.996,,,,,,,,,,,,
656,12,1.444,0.723,0.056,1.997,,,,,,,,,,,,
657,11.8,1.437,0.72,0.061,1.996,,,,,,,,,,,,
658,11.6,1.425,0.714,0.062,1.996,,,,,,,,,,,,
659,11.4,1.417,0.71,0.058,1.996,,,,,,,,,,,,
660,11.2,1.407,0.705,0.063,1.996,,,,,,,,,,,,
661,11,1.398,0.7,0.062,1.997,,,,,,,,,,,,
662,10.8,1.389,0.696,0.058,1.996,,,,,,,,,,,,
663,10.6,1.378,0.69,0.059,1.997,,,,,,,,,,,,
664,10.4,1.37,0.686,0.057,1.997,,,,,,,,,,,,
665,10.2,1.361,0.681,0.056,1.999,,,,,,,,,,,,
666,10,1.354,0.677,0.06,2,,,,,,,,,,,,
667,9.8,1.343,0.673,0.059,1.996,,,,,,,,,,,,
668,9.6,1.336,0.669,0.058,1.997,,,,,,,,,,,,
669,9.4,1.328,0.664,0.062,2,,,,,,,,,,,,
670,9.2,1.317,0.659,0.059,1.998,,,,,,,,,,,,
671,9,1.309,0.656,0.057,1.995,,,,,,,,,,,,
672,8.8,1.3,0.65,0.055,2,,,,,,,,,,,,
673,8.6,1.291,0.646,0.055,1.998,,,,,,,,,,,,
674,8.4,1.282,0.641,0.051,2,,,,,,,,,,,,
675,8.2,1.274,0.637,0.056,2,,,,,,,,,,,,
676,8,1.263,0.632,0.055,1.998,,,,,,,,,,,,
677,7.8,1.255,0.628,0.053,1.998,,,,,,,,,,,,
678,7.6,1.246,0.623,0.057,2,,,,,,,,,,,,
679,7.4,1.236,0.618,0.053,2,,,,,,,,,,,,
680,7.2,1.228,0.614,0.052,2,,,,,,,,,,,,
681,7,1.217,0.609,0.051,1.998,,,,,,,,,,,,
682,6.8,1.209,0.604,0.052,2.002,,,,,,,,,,,,
683,6.6,1.198,0.599,0.05,2,,,,,,,,,,,,
684,6.4,1.19,0.595,0.052,2,,,,,,,,,,,,
685,6.2,1.18,0.59,0.051,2,,,,,,,,,,,,
686,6,1.171,0.586,0.051,1.998,,,,,,,,,,,,
687,5.8,1.162,0.581,0.053,2,,,,,,,,,,,,
688,5.6,1.152,0.576,0.05,2,,,,,,,,,,,,
689,5.4,1.144,0.572,0.048,2,,,,,,,,,,,,
690,5.2,1.133,0.567,0.043,1.998,,,,,,,,,,,,
691,5,1.124,0.562,0.046,2,,,,,,,,,,,,
692,4.8,1.115,0.558,0.043,1.998,,,,,,,,,,,,
693,4.6,1.108,0.554,0.044,2,,,,,,,,,,,,
694,4.4,1.097,0.549,0.049,1.998,,,,,,,,,,,,
695,4.2,1.089,0.544,0.045,2.002,,,,,,,,,,,,
696,4,1.081,0.54,0.047,2.002,,,,,,,,,,,,
697,3.8,1.071,0.535,0.047,2.002,,,,,,,,,,,,
698,3.6,1.062,0.531,0.04,2,,,,,,,,,,,,
699,3.4,1.053,0.527,0.043,1.998,,,,,,,,,,,,
700,3.2,1.045,0.523,0.041,1.998,,,,,,,,,,,,
701,3,1.035,0.517,0.039,2.002,,,,,,,,,,,,
702,2.8,1.027,0.514,0.044,1.998,,,,,,,,,,,,
703,2.6,1.016,0.508,0.041,2,,,,,,,,,,,,
704,2.4,1.007,0.504,0.039,1.998,,,,,,,,,,,,
705,2.2,0.999,0.5,0.044,1.998,,,,,,,,,,,,
706,2,0.989,0.495,0.042,1.998,,,,,,,,,,,,
707,1.8,0.98,0.491,0.04,1.996,,,,,,,,,,,,
708,1.6,0.97,0.485,0.038,2,,,,,,,,,,,,
709,1.4,0.961,0.481,0.039,1.998,,,,,,,,,,,,
710,1.2,0.95,0.475,0.035,2,,,,,,,,,,,,
711,1,0.942,0.471,0.039,2,,,,,,,,,,,,
712,0.8,0.932,0.465,0.039,2.004,,,,,,,,,,,,
713,0.6,0.932,0.465,0.033,2.004,,,,,,,,,,,,
714,0.4,0.932,0.465,0,2.004,,,,,,,,,,,,
715,0.2,0.932,0.465,0.034,2.004,,,,,,,,,,,,
716,0,0.932,0.465,0.076,2.004,,,,,,,,,,,,
717,0,0,0,0,0,,,,,,,,,,,,
718,0,0,0,0,0,,,,,,,,,,,,
719,0,0,0,0,0,,,,,,,,,,,,
720,0,0,0,0,0,,,,,,,,,,,,
721,0,0,0,0,0,,,,,,,,,,,,
722,0,0,0,0,0,,,,,,,,,,,,
723,0,0,0,0,0,,,,,,,,,,,,
724,0,0,0,0,0,,,,,,,,,,,,
725,0,0,0,0,0,,,,,,,,,,,,
726,0,0,0,0,0,,,,,,,,,,,,
727,0,0,0,0,0,,,,,,,,,,,,
728,0,0,0,0,0,,,,,,,,,,,,
729,0,0,0,0,0,,,,,,,,,,,,
730,0,0,0,0,0,,,,,,,,,,,,
731,0,0,0,0,0,,,,,,,,,,,,
732,0,0,0,0,0,,,,,,,,,,,,
733,0,0,0,0,0,,,,,,,,,,,,
734,0,0,0,0,0,,,,,,,,,,,,
735,0,0,0,0,0,,,,,,,,,,,,
736,0,0,0,0,0,,,,,,,,,,,,
737,0,0,0,0,0,,,,,,,,,,,,
738,0,0,0,0,0,,,,,,,,,,,,
739,0,0,0,0,0,,,,,,,,,,,,
740,0,0,0,0,0,,,,,,,,,,,,
741,0,0,0,0,0,,,,,,,,,,,,
742,0,0,0,0,0,,,,,,,,,,,,
743,0,0,0,0,0,,,,,,,,,,,,
744,0,0,0,0,0,,,,,,,,,,,,
745,0,0,0,0,0,,,,,,,,,,,,
746,0,0,0,0,0,,,,,,,,,,,,
747,0,0,0,0,0,,,,,,,,,,,,
