Sn,Degree,Volt CH-1,Volt CH-2,Load,Sync,,,,,,,,,,,,
111,22,1.882,0.943,0.244,1.996,,1.8820,0.9435,,,1.8820,0.94352,,,,,
112,22.2,1.892,0.948,0.246,1.996,,1.8910,0.9475,,,1.8910,0.94752,,,,,
113,22.4,1.901,0.952,0.245,1.997,,1.9010,0.9525,,,1.9010,0.95252,,,,,
114,22.6,1.911,0.957,0.243,1.997,,1.9100,0.9565,,,1.9100,0.95652,,,,,
115,22.8,1.919,0.961,0.246,1.997,,1.9200,0.9615,,,1.9200,0.96152,,,,,
116,23,1.93,0.966,0.246,1.998,,1.9280,0.9655,,,1.9280,0.96552,,,,,
117,23.2,1.939,0.97,0.241,1.999,,1.9390,0.9705,,,1.9390,0.97052,,,,,
118,23.4,1.946,0.974,0.246,1.998,,1.9480,0.9745,,,1.9480,0.97452,,,,,
119,23.6,1.956,0.979,0.249,1.998,,1.9550,0.9785,,,1.9550,0.97852,,,,,
120,23.8,1.964,0.983,0.244,1.998,,1.9650,0.9835,,,1.9650,0.98352,,,,,
121,24,1.974,0.988,0.253,1.998,,1.9730,0.9875,,,1.9730,0.98752,,,,,
122,24.2,1.981,0.992,0.248,1.997,,1.9830,0.9925,,,1.9830,0.99252,,,,,
123,24.4,1.992,0.997,0.243,1.998,,1.9900,0.9965,,,1.9900,0.99652,,,,,
124,24.6,2,1.001,0.249,1.998,,2.0010,1.0015,,,2.0010,1.00152,,,,,
125,24.8,2.011,1.007,0.246,1.997,,2.0090,1.0055,,,2.0090,1.00552,,,,,
126,25,2.019,1.011,0.245,1.997,,2.0200,1.0115,,,2.0200,1.01152,,,,,
127,25.2,2.027,1.015,0.251,1.997,,2.0280,1.0155,,,2.0280,1.01552,,,,,
128,25.4,2.036,1.02,0.249,1.996,,2.0360,1.0195,,,2.0360,1.01952,,,,,
129,25.6,2.045,1.024,0.249,1.997,,2.0450,1.0245,,,2.0450,1.02452,,,,,
130,25.8,2.055,1.029,0.253,1.997,,2.0540,1.0285,,,2.0540,1.02852,,,,,
131,26,2.064,1.033,0.25,1.998,,2.0640,1.0335,,,2.0640,1.03352,,,,,
132,26.2,2.074,1.038,0.25,1.998,,2.0730,1.0375,,,2.0730,1.03752,,,,,
133,26.4,2.082,1.043,0.252,1.996,,2.0830,1.0425,,,2.0830,1.04252,,,,,
134,26.6,2.091,1.047,0.251,1.997,,2.0910,1.0475,,,2.0910,1.04752,,,,,
135,26.8,2.1,1.052,0.249,1.996,,2.1000,1.0515,,,2.1000,1.05152,,,,,
136,27,2.108,1.056,0.25,1.996,,2.1090,1.0565,,,2.1090,1.05652,,,,,
137,27.2,2.12,1.061,0.257,1.998,,2.1170,1.0605,,,2.1170,1.06052,,,,,
138,27.4,2.127,1.065,0.249,1.997,,2.1290,1.0655,,,2.1290,1.06552,,,,,
139,27.6,2.138,1.07,0.256,1.998,,2.1360,1.0695,,,2.1360,1.06952,,,,,
140,27.8,2.146,1.074,0.256,1.998,,2.1470,1.0745,,,2.1470,1.07452,,,,,
141,28,2.157,1.079,0.248,1.999,,2.1550,1.0785,,,2.1550,1.07852,,,,,
142,28.2,2.165,1.083,0.254,1.999,,2.1660,1.0835,,,2.1660,1.08352,,,,,
143,28.4,2.174,1.087,0.251,2,,2.1740,1.0875,,,2.1740,1.08752,,,,,
144,28.6,2.182,1.091,0.251,2,,2.1830,1.0915,,,2.1830,1.09152,,,,,
145,28.8,2.19,1.095,0.255,2,,2.1910,1.0955,,,2.1910,1.09552,,,,,
146,29,2.199,1.1,0.257,1.999,,2.1990,1.0995,,,2.1990,1.09952,,,,,
147,29.2,2.207,1.104,0.253,1.999,,2.2080,1.1045,,,2.2080,1.10452,,,,,
148,29.4,2.215,1.109,0.26,1.997,,2.2160,1.1085,,,2.2160,1.10852,,,,,
149,29.6,2.223,1.113,0.254,1.997,,2.2240,1.1135,,,2.2240,1.11352,,,,,
150,29.8,2.234,1.118,0.256,1.998,,2.2320,1.1175,,,2.2320,1.11752,,,,,
151,30,2.242,1.122,0.258,1.998,,2.2430,1.1225,,,2.2430,1.12252,,,,,
152,30.2,2.251,1.127,0.254,1.997,,2.2510,1.1265,,,2.2510,1.12652,,,,,
153,30.4,2.259,1.131,0.253,1.997,,2.2600,1.1315,,,2.2600,1.13152,,,,,
154,30.6,2.267,1.135,0.255,1.997,,2.2680,1.1355,,,2.2680,1.13552,,,,,
155,30.8,2.276,1.14,0.258,1.996,,2.2760,1.1395,,,2.2760,1.13952,,,,,
156,31,2.285,1.144,0.258,1.997,,2.2850,1.1445,,,2.2850,1.14452,,,,,
157,31.2,2.295,1.15,0.262,1.996,,2.2940,1.1485,,,2.2940,1.14852,,,,,
